,,,given,given,given,given,given,given,given,given,given,given,given,given
date,,,1,2,3,4,5,6,7,8,9,10,11,12
street,year,def,,,,,,,,,,,,
9.0,2017,7.0,0.0,823.69,764.855,960.965,843.2950000000001,0.0,941.355,1024.57,543.65,1087.3,1735.495,961.8399999999999
9.0,2018,8.0,11437.3625,29758.221666666668,19676.051249999997,22065.806666666667,17430.578333333335,8159.688333333334,9508.275,8109.4457142857145,9153.848333333333,8876.858333333334,12081.718333333332,24439.977777777778
9.0,2019,8.0,15606.63,29812.13666666667,29790.16333333333,23695.786666666667,20052.158333333336,8079.339999999999,10749.086666666666,8749.155,10805.19,6646.856250000001,8726.125,9951.370714285715
9.0,2020,1.0,29601.989999999998,10838.720000000001,25131.755,15448.415,14612.05,14356.855,9041.56,14812.564999999999,30405.145,22486.16,23479.925,120656.40500000001
9.0,2020,2.0,0.0,67061.95749999999,58546.645,49450.045,34006.45,8534.555,1455.2649999999999,5757.4800000000005,6363.215,3940.2850000000003,15548.715,204166.87500000003
9.0,2020,3.0,743.255,0.0,803.1949999999999,779.22,71.93,95.905,64.93,947.3825,878.9759999999999,944.098,758.7660000000001,3335.364444444444
9.0,2021,5.0,13249.096666666666,26360.050000000003,34844.98333333333,27143.16,18743.07,14344.179999999998,8492.036666666667,9831.310000000001,9410.82,8292.18,11494.98,8124.92
9.0,2021,9.0,68019.98000000001,63232.753333333334,54227.176666666666,44241.03666666666,30266.696666666667,6552.433333333333,2061.7766666666666,3534.066666666667,1099.1866666666667,7967.775,15266.255,53273.68
9.0,2021,10.0,50.83,965.8050000000001,1448.71,1016.64,3837.8149999999996,1499.545,1016.64,0.0,0.0,79.81,79.805,26.605
10.0,2016,7.0,622.435,287.16499999999996,89.735,125.635,107.69,89.74000000000001,0.0,159.94,117.67,98.05499999999999,98.05499999999999,98.055
10.0,2017,5.0,0.0,0.0,0.0,7994.83,8462.33,7770.67,14771.84,17882.54,16036.16,18000.0,24461.86,11145.56
10.0,2017,7.0,0.0,98.05499999999999,19.615,19.615,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2018,8.0,0.0,27090.980000000003,34047.26,16066.04,16130.974999999999,7695.76,6600.285000000001,7089.405000000001,6444.865,10689.65,11080.74,19590.23
10.0,2019,8.0,12206.57,26747.155,22433.239999999998,18135.745,19793.145,4975.685,3809.7000000000003,4045.875,2886.2200000000003,4883.25,3981.005,6959.373333333333
10.0,2020,1.0,6883.6,7536.95,29343.78,22973.37,19871.33,11888.77,30101.93,9087.62,27005.4,8407.82,11782.45,104208.54
10.0,2020,2.0,0.0,32194.36,34621.89,30776.41,22688.36,19859.33,61.55,209.53,229.44,140.49,250.81,104963.545
10.0,2021,10.0,212.67399999999998,139.44333333333333,239.04333333333332,338.64,406.65999999999997,10.553333333333333,355.825,260.62,239.435,266.03999999999996,317.555,239.435
12.0,2016,7.0,143.57999999999998,143.57999999999998,71.795,89.74000000000001,161.53,143.57999999999998,0.0,302.205,78.45,78.45,58.835,117.66749999999999
12.0,2017,7.0,0.0,78.45,119.30000000000001,156.89,156.89,0.0,274.5625,62.73,104.54499999999999,83.64,62.73,125.46
12.0,2018,8.0,0.0,104.54499999999999,41.82,0.0,0.0,0.0,0.0,44.63,0.0,0.0,22.310000000000002,-35.695
12.0,2019,8.0,0.0,22.689999999999998,0.0,0.0,86.67,776.36,95.22,63.96,208.1,191.69,116.28,118.34
12.0,2020,1.0,163.46,140.78,141.98,140.27,134.5,136.34,121.98,147.35,133.6,13.18,13.18,922.3
13.0,2016,5.0,113189.21,106315.36,96290.57,86322.19,118201.85,90121.7,85204.54,30289.600000000006,110658.16,89509.12,104468.63,111340.86
13.0,2016,6.0,0.0,210597.13,150626.10499999998,144855.745,113253.85,0.0,0.0,-21082.89,0.0,0.0,54562.685,149159.29499999998
13.0,2017,5.0,119575.42,123394.25,106075.6,112428.16,96399.4,110302.21,102580.4,133328.87,113657.98,122674.91,141649.7,81040.65500000001
13.0,2017,6.0,0.0,225792.14,169098.08000000002,149059.02,107357.705,0.0,0.0,0.0,0.0,0.0,75708.86499999999,143332.05000000002
13.0,2018,8.0,82219.90000000001,71667.34,53114.58857142857,61923.065714285716,50364.59428571429,29197.266666666666,22950.008,27253.023999999998,25498.044,23099.446,29090.30571428571,50845.985714285714
13.0,2019,8.0,32845.464,92072.74571428572,69581.56,57882.36571428571,47748.29,22728.329999999998,20851.408,28799.22,29030.614,27843.712,38183.701428571425,59494.25
13.0,2020,1.0,196939.62,178245.85,155077.32,141485.94,145988.86,117749.23,137347.86,144934.68,144018.3,127812.79,134868.17,970917.58
13.0,2020,2.0,197961.735,203332.125,171613.345,137313.79,133754.165,0.0,0.0,0.0,0.0,0.0,52626.674999999996,591512.9824999999
13.0,2020,3.0,791.64,668.495,686.09,650.905,703.68,914.7850000000001,774.0500000000001,1500.4799999999998,786.87,1011.69,1011.69,5239.5325
14.0,2016,5.0,0.0,9993.64,12511.15,11209.74,12192.9,14037.41,12572.14,11381.56,17255.34,11604.5,11393.13,17350.05
14.0,2016,6.0,0.0,71213.59,51714.8,43553.93,30832.35,1674.48,0.0,0.0,0.0,0.0,6155.16,43264.96
14.0,2017,5.0,17523.38,7263.59,17716.51,11127.62,16458.58,13108.9,15410.06,17121.47,16906.62,15759.1,15800.38,16569.03
14.0,2017,6.0,61790.05,72380.39,47269.02,37444.62,16864.76,1467.7,0.0,0.0,0.0,0.0,388.61,35321.17
14.0,2017,7.0,0.0,303.555,43.365,43.365,86.72999999999999,21.685,21.685,89.135,44.925,22.46,0.0,22.46
14.0,2018,8.0,23161.095,24885.955,17233.926,17516.295000000002,6456.666,4954.263333333333,4299.786666666667,12619.04,5166.89,4179.19,3598.5075,5743.965
